url,text
https://github.com/jj-vcs/jj,jj-vcs
https://v5.chriskrycho.com/essays/jj-init/,the "jj init" essay
https://steveklabnik.github.io/jujutsu-tutorial/,Steve's Jujutsu Tutorial


